id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
29b7866b40f1262c,"Oh, and this revert just sums up the dedication of this disruptive IP to do nothing but promote his cause.  No idea, no clue, no competence, edit warring, block evasion, revert on sight, block, move along.",0,0,0,0,0,0
3f69468408bf3872,"""
Thanks, although I'll have to get someone to unprotect it before then once my new DYK go through. his Forest """,0,0,0,0,0,0
2ae3b0fdd392fe50,"""
I've already offered my ideas.  Go with that or do something else... just make sure that you end up with a solid rule for inclusion so that the list makes sense.  By the way, what's """"fashionable"""" is actually what's in use todaywhy would most programmers be looking up info on dead or very low-use languages?   04:57, 2 Aug 2004 (UTC)""",0,0,0,0,0,0
f3f323094aec8227,"Don't make vandalism 

Don't make vandalism on pages, if you continue your account will be suspended.",0,0,0,0,0,0
d10f3bf48ddd517d,I do not care to hear anything else you have to say so please do not post messages in my talk page. I will remove them.,0,0,0,0,0,0
f08de4f48eaebda7,"Online chat 

About list of software, please see Talk:Online_chat, thanks. - 213.115.160.72",0,0,0,0,0,0
a41571e1cd208a21,"""
Break for Civility
BQZip01, I could attempt to associate this edit here with you, but it would be an unfounded personal attack, and an obvious violation of WP:civil.  As such, I would never consider it.  Your comments concerning myself and/or other editors with remarks such as """"rather suspicious"""" linking to  WP:meat, does nothing to further discussion on improving the article.  Please consider limiting comment, at this page, to the concerns of article content.  Dynamic IP currently editing as: 68.28.104.251  """,0,0,0,0,0,0
44e79f2e37ed3790,Too busy? Because your contribution to cleaning up Spam and your Administrator work..:),0,0,0,0,0,0
ba2b7b4c4fb4641a,"Yes, I will upload it as soon as I finish cropping it within the hour.",0,0,0,0,0,0
34d8be1f2b2ca6e5,"Notability of Dem 704 Boyz
A tag has been placed on Dem 704 Boyz, requesting that it be speedily deleted from Wikipedia. This has been done because the article seems to be about a person, group of people, band, club, company, or web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. Please see the guidelines for what is generally accepted as notable, and if you can indicate why the subject of this article is notable, you may contest the tagging. To do this, add  on the top of the page (below the existing db tag) and leave a note on the article's talk page explaining your position. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",0,0,0,0,0,0
9bd3df61244e30b1,"YOU WANT TO TRACK ME DOWN AHOLE?
FEEL FREE TO WRITE ME, GIVE YOUR EMAIL AND I WILL MEET YOU JERK!",1,0,0,0,0,0
7f5d63523f4b5e43,"""

 Some falafel for you! 

  have falafel. wog   """,0,0,0,0,0,0
e22b3442fa3413de,"Yes, it is brilliant PR.  He had a meltdown on television.  So they've turned it around as an asset, as if this illustrates Cramer's independence and advocacy for the small investor.  He's already made his $50-$100 million.  And now he sells books.  Do you ever hear that he donates profits from his books to charity?",0,0,0,0,0,0
94a095a75430781c,"""All I wanted to add to his page were his claims about Alcohol which he has used in his past .  This is my post that was censored.  
Choudary has said that anyone becoming intoxicated by alcohol should be given 40 lashes in public. He claimed alcohol was """"the root of all evil” and that """"Islam additionally imposes 40 lashes in public for deliberate intoxication, followed by 80 lashes in public if repeated for a second time.”.""",0,0,0,0,0,0
4c3934c5417a61fc,Maybe you should use your little brain. Gothic METAL is not GOTH.,1,0,0,0,0,0
48bf4c41035cd529,"Fine then we'll have both on there. User:OJHomer
 I never called you that. Don't be a dick is technically a rule, and you were breaking it. It's the same as being dense. Power level (Dragon Ball)",0,0,0,0,0,0
70fd1530de739f63,"Dear AuburnPilot 

I'll just come back with a different IP address you stupid son of a bitch.  You're a fucking moron.",1,1,1,0,0,0
7312cd31c5864e15,"P-40 Survivors

Anyone interested, a P-40 survivors page is being created - lots and lots of references - see
[User:Davegnz/Curtiss P-40 Survivors] have not done the intro just yet - page is under construction but very surprising on just how many airworthy aircraft there actually are (a lot more then 19 cited) 209.212.28.50",0,0,0,0,0,0
1b02d071c7810309,"""
It must then be the differences between computers and their screen size because for me it is displayed with one full line ending after The Champions and then about two-thirds of a second line starting with Paperland and the """"3)"""" is at the end of the second line.  I guess nowrap templates could be added in, but I do not think I have those in any of the director navigational templates.   """,0,0,0,0,0,0
5b21c64ad06f9bbc,"""Welcome!

Welcome! (We can't say that loud/big enough!)

Here are a few links you might find helpful: 

Be Bold! 
Don't let grumpy users scare you off. 
Meet other new users 
Learn from others 
Play nice with others 
Contribute, Contribute, Contribute! 
Tell us about you 

You can sign your name on talk pages and votes by typing ~~~~; our software automatically converts it to your username and the date.

If you have any questions or problems, no matter what they are, leave me a message on my talk page. 

We're so glad you're here!    """,0,0,0,0,0,0
25255cc281fd4070,"""
You are a liar! """"It was my understanding that the article was about Windows Movie Maker in general (pertaining to all versions), and not just the 2012 version."""" How does it feel to be caught red-handed?   """,1,0,0,0,1,0
2faab5346e36a3c3,"Ron - as said, inappropriate change, especially for amateurs contributors who patrol Wik in naming of protecting it will be reverted. , as Further inappropriate editing will be reported, as evident by your broad but Shallow editing. Remind you again, this page is not owned by you so you don't decide what's notable what's not. I will simply continue to add. Censorship is already making your forensic tool list an inferior compilation of options in market and restrict our readership from having complete information. 
Again, if you don't know it, leave it.",0,0,0,0,0,0
dfb5f23d75399552,"- Theironminer - 5:13 PM, 17 June, 2014",0,0,0,0,0,0
060e350339209f8d,"""

 RfA thanks 

Thank you for the Support
I'd like to express my huge thanks to you, Badbilltucker, for your support in my recent RfA, which closed with 100% support at 71/0/1.  Needless to say, I am very suprised at the huge levels of support I've seen on my RfA, and at the fact that I only had give three answers, unlike many other nominees who have had many, many more questions!  I'll be careful with my use of the tools, and invite you to tell me off if I do something wrong!  Thanks, rtinp23  """,0,0,0,0,0,0
4d5f9c2d252ed954,"3RR violation
I am reporting hereby the violation of 3RR. 1st revert, 2nd revert, 3rd revert by  who has begun a unnecessary revert war in Pakistan article. Please take action.",0,0,0,0,0,0
ba77d41bc09664c6,"If you're referencing the reviews I deleted, I was only trying to keep a variety of different takes on the album. Stacking the article with only very positive reviews would obviously violate WP:NPOV.",0,0,0,0,0,0
662238220501b95e,"I don't understand you, what are you warning me about?",0,0,0,0,0,0
dbf700713e68c239,"IP sock, but your a registered nutcase 

Try to edit without doing 3rr and pissing off thousands of your fellow editors. Better yet, just close your account and leave us alone. 173.104.94.253",1,0,0,0,0,0
67a8aaa361064b00,"Mr Ganesha please do no not simply delete an edit to the article without having any knowledge about it. The facts which I have been mentioning about kanakana-kindi is verified not by just 1 person, a lot of people have done research in this regard. No person has challenged these arguments of Bannanje Govindaacharya and the proofs are documented.",0,0,0,0,0,0
f97fcde77058b74f,/Disgruntled Wikipedians' Breakfast Club,0,0,0,0,0,0
